+----------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------+------------------------------------------------------+------------+------------+--------+------------------+---------------------------------------------------------------------------------------------+-------+
| Вакансия                                                                                           | URL                                                                                   | Компания                                             | min_salary | max_salary | Валюта | Опыт             | Адрес                                                                                       | Сайт  |
| Преподаватель Питона/Python в колледж                                                              | https://novosibirsk.hh.ru/vacancy/127268759?query=Python&hhtmFrom=vacancy_search_list | АО ЭДУТЕХ ГРУПП                                      |          0 |      57000 | ₽      | Опыт 1-3 года    | Новосибирск, улица Восход, 20                                                               | hh.ru |
| Программист встроенного ПО (Embedded инженер)                                                      | https://novosibirsk.hh.ru/vacancy/127215523?query=Python&hhtmFrom=vacancy_search_list | ООО Тесла тек                                        |       None |       None | None   | Опыт 1-3 года    | Новосибирск, Гурьевская улица, 38                                                           | hh.ru |
| Fullstack developer Python (Flask), Vue                                                            | https://novosibirsk.hh.ru/vacancy/127201295?query=Python&hhtmFrom=vacancy_search_list | ООО УЦ Профстандарт                                  |      80000 |     150000 | ₽      | Опыт 1-3 года    | Новосибирск, улица Некрасова, 63/1                                                          | hh.ru |
| Руководитель группы анализа данных                                                                 | https://novosibirsk.hh.ru/vacancy/127181936?query=Python&hhtmFrom=vacancy_search_list | S7 Group                                             |       None |       None | None   | Опыт 1-3 года    | Новосибирск, улица Кирова, 23                                                               | hh.ru |
| Ведущий специалист по информационной безопасности                                                  | https://novosibirsk.hh.ru/vacancy/127173214?query=Python&hhtmFrom=vacancy_search_list | ООО Плейспартс                                       |       None |       None | None   | Опыт 3-6 лет     | Новосибирск                                                                                 | hh.ru |
| DevOps-инженер                                                                                     | https://novosibirsk.hh.ru/vacancy/127171132?query=Python&hhtmFrom=vacancy_search_list | NPM                                                  |       None |       None | None   | Опыт 3-6 лет     | Новосибирск, Большая улица, 254/1                                                           | hh.ru |
| Инженер технической поддержки (L2)                                                                 | https://novosibirsk.hh.ru/vacancy/127166742?query=Python&hhtmFrom=vacancy_search_list | СДЭК                                                 |       None |       None | None   | Опыт 3-6 лет     | Новосибирск                                                                                 | hh.ru |
| Middle+/Senior Data Scientist в команду NLP Core                                                   | https://novosibirsk.hh.ru/vacancy/127162840?query=Python&hhtmFrom=vacancy_search_list | 2ГИС.RnD                                             |       None |       None | None   | Опыт 3-6 лет     | Новосибирск                                                                                 | hh.ru |
| Инженер Компьютерного Зрения (Neural Rendering / NERF / Gaussian Splatting / 3D reconstruction)    | https://novosibirsk.hh.ru/vacancy/127161151?query=Python&hhtmFrom=vacancy_search_list | RoadAR                                               |       None |       None | None   | Опыт 3-6 лет     | Новосибирск                                                                                 | hh.ru |
| Старший системный администратор (core infrastructure)                                              | https://novosibirsk.hh.ru/vacancy/127160586?query=Python&hhtmFrom=vacancy_search_list | TravelLine                                           |     250000 |     450000 | ₽      | Опыт более 6 лет | Новосибирск                                                                                 | hh.ru |
| Mid-Sr Backend developer / Разработчик C++                                                         | https://novosibirsk.hh.ru/vacancy/127157537?query=Python&hhtmFrom=vacancy_search_list | ISPsystem                                            |       None |       None | None   | Опыт 3-6 лет     | Новосибирск                                                                                 | hh.ru |
| Преподаватель робототехники                                                                        | https://novosibirsk.hh.ru/vacancy/127157458?query=Python&hhtmFrom=vacancy_search_list | Алабуга. Международная школа                         |     127500 |        inf | ₽      | Опыт 1-3 года    | Елабуга, улица Норд Драйв, 1                                                                | hh.ru |
| C# разработчик приложения для автоматизации обработки деталей на лазерных станках                  | https://novosibirsk.hh.ru/vacancy/127155164?query=Python&hhtmFrom=vacancy_search_list | Ледас                                                |     100000 |     170000 | ₽      | Опыт 3-6 лет     | Новосибирск, улица Николаева, 11/5                                                          | hh.ru |
| C++ разработчик алгоритмов геометрического моделирования                                           | https://novosibirsk.hh.ru/vacancy/127144400?query=Python&hhtmFrom=vacancy_search_list | Ледас                                                |     100000 |     170000 | ₽      | Опыт 3-6 лет     | Новосибирск, улица Николаева, 11/5                                                          | hh.ru |
| Frontend-разработчик                                                                               | https://novosibirsk.hh.ru/vacancy/127138916?query=Python&hhtmFrom=vacancy_search_list | ООО Верботелеком                                     |     200000 |        inf | ₽      | Опыт 3-6 лет     | Новосибирск, улица Дуси Ковальчук, 238                                                      | hh.ru |
| Главный специалист (направление по организации аутсорсинга)                                        | https://novosibirsk.hh.ru/vacancy/127136211?query=Python&hhtmFrom=vacancy_search_list | Экспобанк                                            |     110000 |     110000 | ₽      | Опыт 1-3 года    | Новосибирск, Советская улица, 5                                                             | hh.ru |
| Middle+ / Senior Data-аналитик                                                                     | https://novosibirsk.hh.ru/vacancy/127115677?query=Python&hhtmFrom=vacancy_search_list | ООО Линсофтверпродакшн                               |     200000 |     300000 | ₽      | Опыт более 6 лет | Новосибирск                                                                                 | hh.ru |
| Senior backend-developer (PHP, Symfony)                                                            | https://novosibirsk.hh.ru/vacancy/127109745?query=Python&hhtmFrom=vacancy_search_list | еКапуста                                             |          0 |     500000 | ₽      | Опыт 3-6 лет     | Новосибирск, Коммунистическая улица, 40                                                     | hh.ru |
| Senior backend-developer (PHP, Symfony)                                                            | https://novosibirsk.hh.ru/vacancy/127109743?query=Python&hhtmFrom=vacancy_search_list | еКапуста                                             |          0 |     500000 | ₽      | Опыт 3-6 лет     | Новосибирск, Коммунистическая улица, 40                                                     | hh.ru |
| Senior backend-developer (PHP, Symfony)                                                            | https://novosibirsk.hh.ru/vacancy/127109742?query=Python&hhtmFrom=vacancy_search_list | еКапуста                                             |          0 |     500000 | ₽      | Опыт 3-6 лет     | Новосибирск, Коммунистическая улица, 40                                                     | hh.ru |
| Senior backend-developer (PHP, Symfony)                                                            | https://novosibirsk.hh.ru/vacancy/127109741?query=Python&hhtmFrom=vacancy_search_list | еКапуста                                             |          0 |     500000 | ₽      | Опыт 3-6 лет     | Новосибирск, Коммунистическая улица, 40                                                     | hh.ru |
| Senior backend-developer (PHP, Symfony)                                                            | https://novosibirsk.hh.ru/vacancy/127109740?query=Python&hhtmFrom=vacancy_search_list | еКапуста                                             |          0 |     500000 | ₽      | Опыт 3-6 лет     | Новосибирск, Коммунистическая улица, 40                                                     | hh.ru |
| Senior backend-developer (PHP, Symfony)                                                            | https://novosibirsk.hh.ru/vacancy/127109739?query=Python&hhtmFrom=vacancy_search_list | еКапуста                                             |          0 |     500000 | ₽      | Опыт 3-6 лет     | Новосибирск, Коммунистическая улица, 40                                                     | hh.ru |
| AI-разработчик (Интеграция ИИ в чат-бот)                                                           | https://novosibirsk.hh.ru/vacancy/127108869?query=Python&hhtmFrom=vacancy_search_list | ООО ЭВА ПРОДАКТ                                      |     100000 |        inf | ₽      | Опыт 1-3 года    | Новосибирск, Красный проспект, 77/1                                                         | hh.ru |
| PHP разработчик (Symfony)                                                                          | https://novosibirsk.hh.ru/vacancy/127108844?query=Python&hhtmFrom=vacancy_search_list | еКапуста                                             |     160000 |        inf | ₽      | Опыт 3-6 лет     | Новосибирск, Коммунистическая улица, 40                                                     | hh.ru |
| PHP разработчик (Symfony)                                                                          | https://novosibirsk.hh.ru/vacancy/127108504?query=Python&hhtmFrom=vacancy_search_list | еКапуста                                             |     160000 |        inf | ₽      | Опыт 3-6 лет     | Новосибирск, Коммунистическая улица, 40                                                     | hh.ru |
| PHP разработчик (Symfony)                                                                          | https://novosibirsk.hh.ru/vacancy/127105981?query=Python&hhtmFrom=vacancy_search_list | еКапуста                                             |     160000 |        inf | ₽      | Опыт 3-6 лет     | Новосибирск, Коммунистическая улица, 40                                                     | hh.ru |
| Python-разработчик                                                                                 | https://novosibirsk.hh.ru/vacancy/127098837?query=Python&hhtmFrom=vacancy_search_list | Сибирская генерирующая Компания                      |     100000 |        inf | ₽      | Опыт 1-3 года    | Новосибирск, улица Николаева, 11/5                                                          | hh.ru |
| Инженер технической поддержки (внедрения ПО), Академгородок                                        | https://novosibirsk.hh.ru/vacancy/127089858?query=Python&hhtmFrom=vacancy_search_list | Aurus                                                |       None |       None | None   | Опыт 3-6 лет     | Новосибирск, микрорайон Академгородок, улица Николаева, 11                                  | hh.ru |
| Аналитик отчетных систем DWH                                                                       | https://novosibirsk.hh.ru/vacancy/127085494?query=Python&hhtmFrom=vacancy_search_list | ООО Совкомбанк Технологии                            |       None |       None | None   | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
| Продуктовый/BI аналитик                                                                            | https://novosibirsk.hh.ru/vacancy/127080426?query=Python&hhtmFrom=vacancy_search_list | Яндекс Крауд: Бэк-офис                               |      73000 |      73000 | ₽      | Опыт 1-3 года    | Новосибирск                                                                                 | hh.ru |
